year,county,state,povrate,wagesal_percap,trans_gov_pc,trans_medicare_pc,oldfrac,totalpop,trans_medicaid_pc,unemprate
2015,"Jefferson County, KY",21,15.4,33.507957,9.0844069,2.1304028,0.14935957,764946,2.0966871,4.8
2010,"Bullitt County, KY",21,10.5,8.5158949,7.2429662,1.6882951,0.11244296,74500,0.71189851,10.6
2003,"Henry County, KY",21,12.7,8.6042404,5.7681003,1.3741455,0.12484436,15259,0.95206583,5.3
2005,"Oldham County, KY",21,5.0,10.085989,3.7475982,0.786488,0.075645894,54266,0.59542745,4.8
2009,"Oldham County, KY",21,5.9,9.8991547,5.0315013,1.1071724,0.088880338,59777,0.6345197,8.3
2014,"Jefferson County, KY",21,16.8,31.422703,8.6740189,2.0554323,0.14569694,761725,1.8548785,6.0
2006,"Henry County, KY",21,15.4,8.48526,6.4880676,1.7596315,0.13137318,15475,1.0206748,5.7
2007,"Shelby County, KY",21,13.3,15.036273,5.2822905,1.3664147,0.11402008,40335,0.64320242,4.7
2002,"Bullitt County, KY",21,,6.7400331,4.3534298,0.75477654,0.081395529,63775,0.68376023,5.2
2019,"Jefferson County, KY",21,14.2,35.990448,9.2870617,2.2946959,0.16659907,766757,1.9913027,4.0
2018,"Bullitt County, KY",21,9.5,13.075519,7.76088,2.1805184,0.15669864,81009,1.0071455,4.0
2004,"Henry County, KY",21,13.7,9.03092,6.1904874,1.5304049,0.12735695,15327,1.1086432,4.8
2016,"Jefferson County, KY",21,14.9,34.171219,8.9566145,2.1517746,0.1529505,767464,1.9533029,4.4
2011,"Jefferson County, KY",21,17.3,29.888477,8.4430323,2.0360134,0.13426344,746361,1.3312511,9.5
2008,"Spencer County, KY",21,8.8,3.5859916,5.6797662,1.2577537,0.094033837,16845,0.79388195,7.3
2008,"Jefferson County, KY",21,14.6,31.030024,7.5916333,1.8341441,0.13223884,730194,1.1962326,6.3
2009,"Jefferson County, KY",21,15.8,29.800228,8.3089352,1.9580102,0.13306548,736705,1.3880905,10.1
2015,"Bullitt County, KY",21,9.6,10.897093,7.764421,2.1548867,0.14268465,78677,1.0816157,4.5
2009,"Henry County, KY",21,16.8,7.5170803,8.3354177,2.1827769,0.14018029,15530,1.248539,10.5
2013,"Shelby County, KY",21,12.6,13.43379,6.5381498,1.6992924,0.13663967,44460,0.6567198,6.1
2013,"Bullitt County, KY",21,10.2,9.911294,7.1170411,1.9642802,0.13064855,76878,0.69458562,7.4
2003,"Shelby County, KY",21,9.9,17.431849,4.4092417,0.89738941,0.10650871,35706,0.63245833,5.1
2011,"Oldham County, KY",21,6.4,9.6429195,5.3171487,1.2201642,0.098384127,60772,0.60639024,7.0
2005,"Shelby County, KY",21,9.7,16.154129,4.7658153,1.0698652,0.10955027,37800,0.67595088,5.2
2012,"Spencer County, KY",21,9.9,3.7148852,6.4557095,1.5685575,0.11570956,17518,0.83663338,7.0
2007,"Henry County, KY",21,14.6,8.5633087,6.9465613,1.9873251,0.13456191,15465,1.0834172,5.3
2002,"Shelby County, KY",21,,17.938559,4.3384809,0.85008377,0.10528284,34754,0.69443631,4.7
2007,"Bullitt County, KY",21,9.9,8.3126383,5.6846294,1.4890478,0.098495327,71577,0.65971321,5.6
2013,"Oldham County, KY",21,6.1,9.7024078,5.2367964,1.3028337,0.11195332,63062,0.58412689,5.7
2004,"Shelby County, KY",21,11.0,17.442247,4.6662507,1.0028471,0.10779129,36682,0.71731001,4.4
2015,"Oldham County, KY",21,6.2,10.673078,5.784411,1.3778445,0.11936923,64556,0.91987681,3.9
2018,"Shelby County, KY",21,10.0,14.814802,7.0382018,1.8976997,0.15472648,48059,0.94233853,3.5
2006,"Oldham County, KY",21,5.8,9.6833057,3.900454,0.91426271,0.07850308,56329,0.54867935,4.9
2012,"Shelby County, KY",21,13.2,13.289879,6.6805091,1.8412651,0.13063496,43656,0.64209312,6.2
2012,"Henry County, KY",21,16.7,7.4146109,8.5695934,2.4249613,0.15284298,15336,1.1811818,7.3
2005,"Spencer County, KY",21,8.7,3.942116,4.8344998,1.0971836,0.088016614,14929,0.89221334,5.3
